loan_id	customer_id	loan_type	region_killeen	origination_date	maturity_date	origination_amount	current_balance	interest_rate	collateral_value	purpose_segment	days_past_due	loan_status	annual_income	credit_score	dti_ratio	LTV_ratio
L00001245	C429588	Residential Mortgage	Killeen, TX Metro	2023-11-28	2047-11-28	61330.19	30726.75	12.3286	68521.98	Residential_Mortgage	0	Current	107433	779	0.49	0.4484
L00001246	C763927	Consumer Auto	Killeen, TX Metro	2023-12-25	2037-12-25	201359.14	161955.59	13.9982	224800.04	Consumer_Auto	0	Current	152037	774	0.33	0.7204
L00001247	C988266	Residential Mortgage	Other Texas Region	2022-07-22	2038-07-22	1000	394.64	4.8055	1161.5	Residential_Mortgage	0	Current	40797	702	0.33	0.3398
L00001248	C564008	Residential Mortgage	Killeen, TX Metro	2018-06-30	2031-06-30	292240.38	192130.98	6.5985	315112.03	Residential_Mortgage	0	Current	20000	710	0.17	0.6097
L00001249	C820801	Consumer Auto	Killeen, TX Metro	2019-10-24	2026-10-24	200346.35	144610.46	5.3676	285192.97	Consumer_Auto	0	Current	66321	778	0.49	0.5071
L00001250	C446699	Residential Mortgage	Other Texas Region	2018-04-07	2034-04-07	138953.84	117924.94	8.0083	193857.1	Residential_Mortgage	0	Current	101440	672	0.44	0.6083
L00001251	C435842	Residential Mortgage	Killeen, TX Metro	2021-04-14	2042-04-14	210715.13	44623.48	4.1871	231019.69	Residential_Mortgage	0	Current	65463	654	0.54	0.1932
L00001252	C486594	Residential Mortgage	Other Texas Region	2023-11-03	2040-11-03	56012.7	53044.11	14.4197	60685.23	Residential_Mortgage	60	Past Due (60)	108932	705	0.26	0.8741
L00001253	C872608	Consumer Auto	Other Texas Region	2022-02-02	2038-02-02	267256.87	158160.13	11.9315	346582.16	Consumer_Auto	0	Current	42695	697	0.36	0.4563
L00001254	C760775	Residential Mortgage	Other Texas Region	2019-01-26	2024-01-26	167122.8	29414.11	9.8168	178987.14	Residential_Mortgage	0	Current	69628	713	0.41	0.1643
L00001255	C791519	Residential Mortgage	Other Texas Region	2023-02-23	2035-02-23	127287.49	104817.21	4.4407	163520	Residential_Mortgage	0	Current	42225	755	0.47	0.641
L00001256	C143925	Commercial Real Estate (CRE)	Killeen, TX Metro	2020-06-16	2025-06-16	100000	38006.88	7.5554	101972.87	Office	0	Current	-1	-1	-1	0.3727
L00001257	C237023	Residential Mortgage	Other Texas Region	2020-04-17	2025-04-17	182656.62	56610.1	6.8844	254037.34	Residential_Mortgage	0	Current	112890	719	0.54	0.2228
L00001258	C187388	Commercial Real Estate (CRE)	Other Texas Region	2018-02-27	2027-02-27	1687139.96	1023371.04	5.8106	1828471	Multi-Family	0	Current	-1	-1	-1	0.5597
L00001259	C632295	Personal Unsecured	Killeen, TX Metro	2019-08-02	2026-08-02	52907.76	49271.15	12.6271	-1	Personal_Unsecured	0	Current	36650	673	0.38	0.6887
L00001260	C357802	Residential Mortgage	Other Texas Region	2020-02-11	2038-02-11	296776.52	181235.12	14.732	307175.67	Residential_Mortgage	0	Current	164082	659	0.26	0.59
L00001261	C535048	Commercial Real Estate (CRE)	Killeen, TX Metro	2020-01-18	2037-01-18	2110315.52	1110866.75	5.5382	2697332.73	Office	0	Current	-1	-1	-1	0.4118
L00001262	C158596	Commercial Real Estate (CRE)	Other Texas Region	2018-11-14	2023-11-14	2239172.4	230567.78	7.3012	2494274.32	Retail	0	Current	-1	-1	-1	0.0924
L00001263	C451005	Commercial Real Estate (CRE)	Other Texas Region	2022-08-04	2033-08-04	414701.47	263707.58	5.5554	529719.64	Retail	60	Past Due (60)	-1	-1	-1	0.4978
L00001264	C879554	Commercial Real Estate (CRE)	Other Texas Region	2021-11-27	2026-11-27	1155399.31	837594.11	7.7305	1453051.16	Multi-Family	0	Current	-1	-1	-1	0.5764
L00001265	C973172	Consumer Auto	Killeen, TX Metro	2023-07-15	2038-07-15	212383.84	185279.84	8.5438	236751.07	Consumer_Auto	0	Current	36218	707	0.41	0.7826
L00001266	C639812	Consumer Auto	Other Texas Region	2019-07-15	2041-07-15	321481.34	258619.61	11.5968	342981.98	Consumer_Auto	0	Current	86101	650	0.35	0.754
L00001267	C622244	Personal Unsecured	Killeen, TX Metro	2020-02-26	2027-02-26	165324.19	146348.4	13.1133	-1	Personal_Unsecured	0	Current	70642	769	0.37	0.8459
L00001268	C512498	Consumer Auto	Other Texas Region	2018-08-30	2023-08-30	123042.64	22558.76	5.9305	135069.79	Consumer_Auto	0	Current	58653	689	0.39	0.167
L00001269	C779290	Residential Mortgage	Killeen, TX Metro	2020-04-22	2040-04-22	1000	164.18	10.0083	1206.75	Residential_Mortgage	0	Current	40482	741	0.46	0.1361
L00001270	C599097	Personal Unsecured	Other Texas Region	2020-10-29	2039-10-29	243323.16	211933.41	6.293	-1	Personal_Unsecured	0	Current	78454	787	0.31	0.6811
L00001271	C749789	Personal Unsecured	Other Texas Region	2023-10-08	2035-10-08	238719.87	219312.11	14.8116	-1	Personal_Unsecured	0	Current	20000	733	0.17	0.8602
L00001272	C907043	Consumer Auto	Killeen, TX Metro	2022-11-09	2027-11-09	356632.52	303137.1	4.4087	497081.12	Consumer_Auto	0	Current	54675	776	0.3	0.6098
L00001273	C248056	Consumer Auto	Other Texas Region	2019-11-15	2030-11-15	74800.08	18647.26	6.4217	98959.38	Consumer_Auto	0	Current	126418	780	0.31	0.1884
L00001274	C114060	Residential Mortgage	Killeen, TX Metro	2018-12-06	2031-12-06	346981.71	166747.91	8.8791	418263.45	Residential_Mortgage	0	Current	116104	756	0.16	0.3987
L00001275	C838345	Commercial Real Estate (CRE)	Other Texas Region	2018-08-25	2035-08-25	167287.63	101132.32	6.014	195262.08	Office	0	Current	-1	-1	-1	0.5179
L00001276	C577272	Residential Mortgage	Other Texas Region	2020-06-04	2043-06-04	152843.3	121901.73	6.5705	215812.74	Residential_Mortgage	0	Current	111025	761	0.46	0.5648
L00001277	C618545	Residential Mortgage	Other Texas Region	2020-02-08	2034-02-08	166502.21	26254.75	4.2244	220729.5	Residential_Mortgage	0	Current	115286	640	0.5	0.1189
L00001278	C929735	Residential Mortgage	Other Texas Region	2022-11-25	2046-11-25	1000	777.1	8.4471	1185.96	Residential_Mortgage	0	Current	189226	777	0.47	0.6552
L00001279	C290279	Consumer Auto	Other Texas Region	2019-06-27	2024-06-27	169031.79	160519.83	10.2401	232637.03	Consumer_Auto	0	Current	162488	686	0.2	0.69
L00001280	C830406	Consumer Auto	Other Texas Region	2022-11-06	2028-11-06	57522.83	7976.33	6.2363	74294.76	Consumer_Auto	0	Current	20000	803	0.46	0.1074
L00001281	C784647	Residential Mortgage	Killeen, TX Metro	2022-07-18	2045-07-18	80910	41776.08	11.4445	87702.64	Residential_Mortgage	0	Current	59860	736	0.27	0.4763
L00001282	C139711	Commercial Real Estate (CRE)	Other Texas Region	2020-01-27	2040-01-27	2173025.3	867427.03	5.7653	2825125.26	Multi-Family	0	Current	-1	-1	-1	0.307
L00001283	C243026	Residential Mortgage	Other Texas Region	2018-11-22	2031-11-22	124904.99	104193.1	10.0658	130291.04	Residential_Mortgage	0	Current	20000	726	0.17	0.7997
L00001284	C435484	Commercial Real Estate (CRE)	Other Texas Region	2021-06-17	2040-06-17	2021200.4	1510799.03	5.7198	2034741.93	Office	0	Current	-1	-1	-1	0.7425
L00001285	C565317	Residential Mortgage	Killeen, TX Metro	2020-01-05	2031-01-05	79213.7	68515.44	13.7947	112334.7	Residential_Mortgage	0	Current	193946	668	0.47	0.6099
L00001286	C318134	Residential Mortgage	Other Texas Region	2022-11-12	2045-11-12	50940.56	23022.67	14.9566	62397.38	Residential_Mortgage	0	Current	165495	706	0.33	0.369
L00001287	C202974	Commercial Real Estate (CRE)	Other Texas Region	2022-07-15	2032-07-15	2532284.79	1214637.58	8.4349	2638183.62	Industrial	0	Current	-1	-1	-1	0.4604
L00001288	C249646	Commercial Real Estate (CRE)	Killeen, TX Metro	2018-02-15	2028-02-15	1253436.41	1065906.7	5.928	1341860.67	Office	0	Current	-1	-1	-1	0.7943
L00001289	C502400	Residential Mortgage	Other Texas Region	2021-01-26	2035-01-26	172705.99	76547.32	10.4863	184371.21	Residential_Mortgage	0	Current	20000	627	0.32	0.4152
L00001290	C250168	Consumer Auto	Other Texas Region	2023-08-04	2046-08-04	237008.23	184462.07	14.8094	268148.29	Consumer_Auto	0	Current	91676	753	0.31	0.6879
L00001291	C692016	Commercial Real Estate (CRE)	Killeen, TX Metro	2023-08-13	2041-08-13	1003123.55	443560.96	5.9141	1074955.49	Industrial	0	Current	-1	-1	-1	0.4126
L00001292	C789376	Consumer Auto	Other Texas Region	2018-03-04	2030-03-04	194245.47	90585.58	11.9307	232803.87	Consumer_Auto	0	Current	81084	684	0.29	0.3891
L00001293	C635534	Residential Mortgage	Killeen, TX Metro	2019-12-24	2026-12-24	89363.71	84883.5	7.333	95187.3	Residential_Mortgage	0	Current	32808	695	0.17	0.8918
L00001294	C538774	Commercial Real Estate (CRE)	Killeen, TX Metro	2023-02-03	2028-02-03	1390555.62	1328778.2	5.902	1771804.72	Multi-Family	0	Current	-1	-1	-1	0.75
L00001295	C611937	Residential Mortgage	Other Texas Region	2019-08-12	2026-08-12	51032.4	29490.1	4.7408	68638.69	Residential_Mortgage	60	Past Due (60)	20000	678	0.28	0.4296
L00001296	C511597	Personal Unsecured	Other Texas Region	2023-08-19	2032-08-19	1000	654.35	9.9899	-1	Personal_Unsecured	0	Current	77917	723	0.24	0.5267
L00001297	C192263	Residential Mortgage	Killeen, TX Metro	2023-06-11	2033-06-11	229429.11	143808.55	14.0642	259274.39	Residential_Mortgage	30	Past Due (30)	91706	787	0.17	0.5547
L00001298	C635590	Residential Mortgage	Other Texas Region	2020-11-13	2042-11-13	135017.89	81099.16	9.0321	137489.79	Residential_Mortgage	0	Current	34962	720	0.49	0.5899
L00001299	C953938	Consumer Auto	Other Texas Region	2022-09-16	2046-09-16	223512.93	175380.63	8.4749	267702.39	Consumer_Auto	0	Current	147616	716	0.37	0.6551
L00001300	C665445	Consumer Auto	Killeen, TX Metro	2022-10-09	2029-10-09	270911.05	32269.58	10.8005	333913.03	Consumer_Auto	0	Current	20000	817	0.39	0.0966
L00001301	C679205	Commercial Real Estate (CRE)	Other Texas Region	2021-04-21	2032-04-21	2125113.08	2081456.84	9.335	2662653.41	Office	0	Current	-1	-1	-1	0.7817
L00001302	C323810	Consumer Auto	Other Texas Region	2018-06-09	2035-06-09	190212.58	93325.26	8.9555	194988.59	Consumer_Auto	0	Current	51207	693	0.45	0.4786
L00001303	C196646	Personal Unsecured	Other Texas Region	2018-05-15	2033-05-15	142980.15	87965.46	4.3651	-1	Personal_Unsecured	0	Current	168788	734	0.42	0.5287
L00001304	C445266	Consumer Auto	Other Texas Region	2021-07-08	2040-07-08	123644.49	117753.26	10.0214	175761.71	Consumer_Auto	0	Current	118055	640	0.33	0.67
L00001305	C910951	Consumer Auto	Killeen, TX Metro	2019-10-11	2024-10-11	196568.61	73410.05	11.7759	199561.87	Consumer_Auto	0	Current	97671	718	0.43	0.3679
L00001306	C590025	Residential Mortgage	Killeen, TX Metro	2018-10-09	2028-10-09	220933.05	153528.74	6.1092	241879.97	Residential_Mortgage	0	Current	97263	704	0.44	0.6347
L00001307	C580703	Residential Mortgage	Killeen, TX Metro	2019-04-10	2038-04-10	120466.82	98532.71	13.172	148738.05	Residential_Mortgage	0	Current	72818	800	0.17	0.6625
L00001308	C443054	Residential Mortgage	Other Texas Region	2023-07-09	2029-07-09	290513.83	141767.38	10.6834	404325.07	Residential_Mortgage	0	Current	76126	721	0.36	0.3506
L00001309	C957756	Residential Mortgage	Killeen, TX Metro	2023-07-29	2037-07-29	147147.71	86258.04	4.0881	190657.9	Residential_Mortgage	0	Current	74698	725	0.26	0.4524
L00001310	C367552	Consumer Auto	Other Texas Region	2018-09-18	2023-09-18	83877.42	21942.5	12.0567	94398.71	Consumer_Auto	0	Current	81459	701	0.23	0.2324
L00001311	C159379	Personal Unsecured	Other Texas Region	2022-11-13	2041-11-13	213123.55	53609.83	13.8513	-1	Personal_Unsecured	0	Current	110421	714	0.3	0.2404
L00001312	C125053	Consumer Auto	Other Texas Region	2021-03-05	2037-03-05	261724.35	229696.4	8.2133	306449.09	Consumer_Auto	0	Current	40813	766	0.39	0.7495
L00001313	C502662	Personal Unsecured	Other Texas Region	2019-08-25	2037-08-25	233099.01	73911.8	8.652	-1	Personal_Unsecured	0	Current	46088	677	0.28	0.2863
L00001314	C756282	Residential Mortgage	Other Texas Region	2022-10-07	2041-10-07	151468.07	104966.8	5.1191	206556.2	Residential_Mortgage	0	Current	154633	700	0.24	0.5082
L00001315	C198723	Consumer Auto	Other Texas Region	2019-10-23	2038-10-23	35436.48	35172.03	9.533	49415.93	Consumer_Auto	0	Current	32104	718	0.54	0.7118
L00001316	C675644	Residential Mortgage	Other Texas Region	2022-07-18	2043-07-18	265388.84	80377.23	13.5636	337221.61	Residential_Mortgage	0	Current	61161	629	0.16	0.2384
L00001317	C372933	Commercial Real Estate (CRE)	Other Texas Region	2019-05-15	2042-05-15	2560793.28	293905.42	8.1884	2911922.25	Multi-Family	0	Current	-1	-1	-1	0.1009
L00001318	C984152	Residential Mortgage	Killeen, TX Metro	2020-01-29	2027-01-29	203061.74	167174.71	5.0164	245062.09	Residential_Mortgage	30	Past Due (30)	100542	733	0.23	0.6822
L00001319	C953088	Residential Mortgage	Other Texas Region	2021-01-14	2039-01-14	67290.4	43112.53	6.745	78584.85	Residential_Mortgage	0	Current	48402	683	0.29	0.5486
L00001320	C930460	Personal Unsecured	Killeen, TX Metro	2022-06-09	2042-06-09	93589.81	91644.27	6.901	-1	Personal_Unsecured	0	Current	103041	685	0.25	0.9212
L00001321	C950916	Residential Mortgage	Killeen, TX Metro	2022-10-05	2040-10-05	1000	344.15	5.2237	1145.74	Residential_Mortgage	0	Current	62838	670	0.16	0.3004
L00001322	C132154	Personal Unsecured	Killeen, TX Metro	2022-09-04	2028-09-04	1000	861.74	12.4925	-1	Personal_Unsecured	0	Current	69312	762	0.25	0.7175
L00001323	C313942	Commercial Real Estate (CRE)	Killeen, TX Metro	2021-01-09	2033-01-09	2252320	322388.77	6.2114	3134924.79	Office	0	Current	-1	-1	-1	0.1028
L00001324	C364480	Consumer Auto	Other Texas Region	2019-01-30	2024-01-30	177672.14	104907.53	5.4744	219430.56	Consumer_Auto	0	Current	58828	796	0.27	0.4781
L00001325	C465821	Consumer Auto	Other Texas Region	2018-03-11	2035-03-11	231936.47	31988.5	13.9948	293316.61	Consumer_Auto	0	Current	98552	749	0.41	0.1091
L00001326	C954211	Consumer Auto	Other Texas Region	2023-04-13	2035-04-13	76167.18	28434.98	13.8888	84169.1	Consumer_Auto	0	Current	62790	756	0.21	0.3378
L00001327	C381173	Residential Mortgage	Other Texas Region	2020-02-03	2044-02-03	266610.67	181593.23	13.7157	379221.1	Residential_Mortgage	0	Current	133343	651	0.28	0.4789
L00001328	C945633	Consumer Auto	Other Texas Region	2019-02-27	2024-02-27	224863.85	155093.16	6.4943	230904.15	Consumer_Auto	0	Current	83569	676	0.29	0.6717
L00001329	C132265	Residential Mortgage	Other Texas Region	2023-12-22	2047-12-22	114083.13	113896.13	14.9271	122158.08	Residential_Mortgage	0	Current	72771	612	0.21	0.9324
L00001330	C465060	Consumer Auto	Other Texas Region	2018-01-06	2032-01-06	227939.98	163231.66	14.739	313548.79	Consumer_Auto	60	Past Due (60)	95602	737	0.47	0.5206
L00001331	C343322	Residential Mortgage	Killeen, TX Metro	2020-11-04	2025-11-04	259415.98	211441.53	11.3173	330980	Residential_Mortgage	0	Current	99544	795	0.53	0.6388
L00001332	C274944	Commercial Real Estate (CRE)	Other Texas Region	2021-01-16	2045-01-16	605787.56	105026.97	6.1007	624474.85	Retail	0	Current	-1	-1	-1	0.1682
L00001333	C670485	Commercial Real Estate (CRE)	Other Texas Region	2021-06-03	2035-06-03	1176279.07	1016135.27	9.2178	1236703.57	Industrial	60	Past Due (60)	-1	-1	-1	0.8216
L00001334	C548396	Residential Mortgage	Killeen, TX Metro	2023-02-24	2029-02-24	195874.29	147128.09	9.9488	198267.03	Residential_Mortgage	0	Current	128646	719	0.42	0.7421
L00001335	C254782	Personal Unsecured	Killeen, TX Metro	2018-03-08	2030-03-08	92586.49	38798.86	14.6216	-1	Personal_Unsecured	0	Current	68377	764	0.52	0.3466
L00001336	C784846	Residential Mortgage	Other Texas Region	2018-11-28	2037-11-28	187340.44	179726.24	7.0045	255086.2	Residential_Mortgage	0	Current	118618	740	0.46	0.7046
L00001337	C171907	Consumer Auto	Other Texas Region	2022-12-16	2036-12-16	1000	854.28	6.4041	1225.21	Consumer_Auto	0	Current	25508	731	0.49	0.6973
L00001338	C302967	Residential Mortgage	Other Texas Region	2018-12-11	2024-12-11	52396.67	10018.49	4.4328	59700.92	Residential_Mortgage	0	Current	172752	689	0.28	0.1678
L00001339	C950867	Personal Unsecured	Killeen, TX Metro	2020-01-22	2031-01-22	96242.12	71942.25	7.4858	-1	Personal_Unsecured	0	Current	110998	732	0.43	0.5383
L00001340	C402775	Residential Mortgage	Other Texas Region	2023-08-25	2036-08-25	161041.93	74211.58	10.4048	204825.06	Residential_Mortgage	0	Current	86073	639	0.53	0.3623
L00001341	C491182	Commercial Real Estate (CRE)	Killeen, TX Metro	2020-08-07	2038-08-07	1250567.75	798299.66	9.3982	1451507.26	Office	30	Past Due (30)	-1	-1	-1	0.55
L00001342	C856892	Consumer Auto	Other Texas Region	2018-06-22	2025-06-22	345682.9	159856.18	8.7152	359425.48	Consumer_Auto	0	Current	156719	813	0.16	0.4448
L00001343	C382247	Consumer Auto	Other Texas Region	2023-06-23	2043-06-23	1000	731.03	11.6823	1062.81	Consumer_Auto	30	Past Due (30)	67469	655	0.21	0.6878
L00001344	C164772	Residential Mortgage	Other Texas Region	2020-01-04	2043-01-04	1000	691.19	9.5531	1078.67	Residential_Mortgage	0	Current	107288	682	0.15	0.6408
L00001345	C226108	Residential Mortgage	Other Texas Region	2022-10-03	2036-10-03	1000	366.33	9.9573	1389.36	Residential_Mortgage	0	Current	104479	817	0.36	0.2637
L00001346	C114382	Commercial Real Estate (CRE)	Killeen, TX Metro	2021-03-08	2026-03-08	2590031.32	1130186.52	6.0147	3229422.88	Multi-Family	0	Current	-1	-1	-1	0.35
L00001347	C184291	Residential Mortgage	Other Texas Region	2021-07-28	2032-07-28	97628.32	74452.47	13.6601	110931.25	Residential_Mortgage	0	Current	114310	737	0.39	0.6712
L00001348	C463339	Residential Mortgage	Killeen, TX Metro	2020-11-26	2037-11-26	204029.84	161536.33	10.9116	246117.45	Residential_Mortgage	0	Current	33736	757	0.23	0.6563
L00001349	C759116	Residential Mortgage	Other Texas Region	2020-08-08	2036-08-08	116663.05	100232.65	7.8709	152610.91	Residential_Mortgage	0	Current	22379	694	0.27	0.6568
L00001350	C382753	Residential Mortgage	Killeen, TX Metro	2019-01-31	2041-01-31	83593.56	52559.62	11.6205	101055.01	Residential_Mortgage	0	Current	176762	751	0.25	0.5201
L00001351	C247550	Residential Mortgage	Other Texas Region	2023-12-17	2046-12-17	170925.66	145923.8	9.2285	201924.75	Residential_Mortgage	0	Current	129654	683	0.2	0.7227
L00001352	C332050	Commercial Real Estate (CRE)	Other Texas Region	2018-09-30	2024-09-30	739951.21	248071.78	8.7479	858046.74	Office	0	Current	-1	-1	-1	0.2891
L00001353	C532882	Residential Mortgage	Other Texas Region	2021-07-27	2029-07-27	124598.43	81331.77	11.9943	146866.84	Residential_Mortgage	0	Current	101746	710	0.23	0.5538
L00001354	C437827	Consumer Auto	Other Texas Region	2021-05-20	2045-05-20	237240.82	206467.21	4.1677	287346.77	Consumer_Auto	0	Current	59739	668	0.38	0.7185
L00001355	C592313	Commercial Real Estate (CRE)	Killeen, TX Metro	2020-12-10	2025-12-10	3463163.23	2160781.48	8.5388	4432509.19	Industrial	0	Current	-1	-1	-1	0.4875
L00001356	C486858	Commercial Real Estate (CRE)	Other Texas Region	2020-07-30	2034-07-30	1879997.97	1346760.5	7.5921	2387648.34	Multi-Family	0	Current	-1	-1	-1	0.5641
L00001357	C754618	Commercial Real Estate (CRE)	Killeen, TX Metro	2021-06-24	2026-06-24	2189793	888997.62	6.6611	2195703.77	Office	0	Current	-1	-1	-1	0.4049
L00001358	C695603	Personal Unsecured	Other Texas Region	2019-07-14	2032-07-14	55594.24	16650.77	12.5175	-1	Personal_Unsecured	0	Current	92738	729	0.29	0.2525
L00001359	C964266	Residential Mortgage	Other Texas Region	2020-11-14	2040-11-14	240956.96	156208.6	14.7488	307682.32	Residential_Mortgage	0	Current	140636	666	0.48	0.5077
L00001360	C488349	Residential Mortgage	Other Texas Region	2021-07-20	2033-07-20	163795.38	50348.35	7.6552	169055.95	Residential_Mortgage	0	Current	67799	745	0.48	0.2978
L00001361	C114153	Residential Mortgage	Other Texas Region	2019-05-05	2035-05-05	329998.21	136524.42	5.5216	427288.75	Residential_Mortgage	0	Current	32335	659	0.44	0.3195
L00001362	C700613	Personal Unsecured	Other Texas Region	2021-07-18	2029-07-18	342178.07	98205.83	11.5417	-1	Personal_Unsecured	0	Current	39550	706	0.29	0.2191
L00001363	C340773	Residential Mortgage	Other Texas Region	2021-06-30	2031-06-30	235071.36	210352.12	8.5227	300050.83	Residential_Mortgage	0	Current	66247	754	0.25	0.7011
L00001364	C155318	Commercial Real Estate (CRE)	Other Texas Region	2020-07-29	2041-07-29	1994501.02	386772.18	6.2665	2363133.99	Multi-Family	0	Current	-1	-1	-1	0.1637
L00001365	C494030	Residential Mortgage	Killeen, TX Metro	2020-10-22	2033-10-22	163628.39	29107.64	11.7022	185489.57	Residential_Mortgage	0	Current	135386	719	0.4	0.1569
L00001366	C477177	Consumer Auto	Other Texas Region	2022-12-07	2037-12-07	1000	107.99	12.3886	1192.88	Consumer_Auto	0	Current	94282	647	0.48	0.0905
L00001367	C176077	Residential Mortgage	Other Texas Region	2023-05-01	2046-05-01	178426.98	142163.04	9.1015	200950.13	Residential_Mortgage	0	Current	118540	800	0.22	0.7075
L00001368	C976906	Residential Mortgage	Killeen, TX Metro	2019-03-28	2037-03-28	305117.15	179439.4	4.1992	399451.96	Residential_Mortgage	0	Current	94286	782	0.41	0.4492
L00001369	C233515	Personal Unsecured	Killeen, TX Metro	2018-07-31	2040-07-31	137280.65	55641.71	11.2035	-1	Personal_Unsecured	0	Current	105504	793	0.51	0.3653
L00001370	C306988	Personal Unsecured	Killeen, TX Metro	2018-08-28	2023-08-28	134532.69	41721.81	8.6976	-1	Personal_Unsecured	0	Current	88692	697	0.34	0.2565
L00001371	C959751	Personal Unsecured	Other Texas Region	2019-05-28	2025-05-28	1000	161.12	7.6057	-1	Personal_Unsecured	0	Current	20000	659	0.43	0.1321
L00001372	C225885	Commercial Real Estate (CRE)	Other Texas Region	2020-08-17	2035-08-17	1336581.54	919896.92	6.1635	1561342.09	Multi-Family	0	Current	-1	-1	-1	0.5892
L00001373	C996209	Commercial Real Estate (CRE)	Killeen, TX Metro	2023-03-04	2040-03-04	2109942.39	1467942.73	8.9508	2459515.17	Multi-Family	0	Current	-1	-1	-1	0.5968
L00001374	C641656	Residential Mortgage	Other Texas Region	2021-04-13	2033-04-13	189481.58	29834.31	6.6314	219683.03	Residential_Mortgage	0	Current	65825	714	0.2	0.1358
L00001375	C770688	Consumer Auto	Other Texas Region	2023-11-25	2043-11-25	40248.76	5110.81	14.3866	56980.17	Consumer_Auto	0	Current	80413	643	0.26	0.0897
L00001376	C288014	Consumer Auto	Other Texas Region	2018-09-06	2041-09-06	81736.78	22614.15	10.1586	95375.2	Consumer_Auto	0	Current	46607	735	0.45	0.2371
L00001377	C191751	Consumer Auto	Other Texas Region	2019-06-14	2025-06-14	250044.31	185564.22	6.3115	317412.96	Consumer_Auto	90	Past Due (90+)	86937	786	0.47	0.5846
L00001378	C330203	Personal Unsecured	Other Texas Region	2022-10-20	2034-10-20	58564.47	18997.67	14.7864	-1	Personal_Unsecured	0	Current	121039	607	0.19	0.2774
L00001379	C913738	Consumer Auto	Other Texas Region	2018-09-29	2033-09-29	209884.61	81139.92	9.7561	292469.7	Consumer_Auto	0	Current	71685	696	0.18	0.2774
L00001380	C795275	Commercial Real Estate (CRE)	Other Texas Region	2019-11-30	2034-11-30	1745531.35	1235047.11	8.3095	1916963.18	Office	30	Past Due (30)	-1	-1	-1	0.6443
L00001381	C923651	Commercial Real Estate (CRE)	Killeen, TX Metro	2023-07-30	2036-07-30	590334.27	381385.17	8.0994	725911.33	Industrial	0	Current	-1	-1	-1	0.5254
L00001382	C311951	Residential Mortgage	Killeen, TX Metro	2023-09-22	2044-09-22	186056	23073.92	9.0871	251003.64	Residential_Mortgage	0	Current	181585	665	0.45	0.0919
L00001383	C605155	Residential Mortgage	Other Texas Region	2020-03-12	2028-03-12	206358.49	103132.72	10.723	241904.18	Residential_Mortgage	0	Current	64313	727	0.47	0.4263
L00001384	C295716	Commercial Real Estate (CRE)	Other Texas Region	2023-06-20	2034-06-20	453243.84	188482.72	8.9825	465178.59	Multi-Family	0	Current	-1	-1	-1	0.4052
L00001385	C684567	Consumer Auto	Killeen, TX Metro	2020-07-22	2042-07-22	16154.67	11971.87	12.1122	20207.59	Consumer_Auto	0	Current	122389	764	0.46	0.5924
L00001386	C415172	Commercial Real Estate (CRE)	Other Texas Region	2022-03-24	2038-03-24	2277431.75	1951962.78	7.7482	2849454.8	Multi-Family	0	Current	-1	-1	-1	0.685
L00001387	C990695	Consumer Auto	Killeen, TX Metro	2023-11-10	2045-11-10	201409.44	114576.14	4.5144	261269.91	Consumer_Auto	0	Current	74205	653	0.55	0.4385
L00001388	C100126	Consumer Auto	Other Texas Region	2018-06-25	2029-06-25	96449.08	40260.7	9.211	136631.84	Consumer_Auto	0	Current	131318	735	0.52	0.2947
L00001389	C938761	Commercial Real Estate (CRE)	Other Texas Region	2019-09-25	2029-09-25	641422.64	508593.5	8.7676	712522.83	Office	0	Current	-1	-1	-1	0.7138
L00001390	C127632	Commercial Real Estate (CRE)	Other Texas Region	2019-03-15	2031-03-15	2030779.51	233132.99	6.3983	2239417.08	Retail	0	Current	-1	-1	-1	0.1041
L00001391	C600315	Commercial Real Estate (CRE)	Other Texas Region	2019-12-26	2039-12-26	2031409.95	388021.37	6.7234	2730060.18	Retail	0	Current	-1	-1	-1	0.1421
L00001392	C820670	Commercial Real Estate (CRE)	Other Texas Region	2022-06-26	2035-06-26	1035969.41	127950.5	8.0943	1368232.11	Multi-Family	0	Current	-1	-1	-1	0.0935
L00001393	C209945	Residential Mortgage	Other Texas Region	2023-04-23	2040-04-23	60447.58	18277.89	7.4894	82453.78	Residential_Mortgage	0	Current	81370	736	0.16	0.2217
L00001394	C417320	Residential Mortgage	Killeen, TX Metro	2018-12-09	2029-12-09	137723.88	81528.4	14.1815	145246.36	Residential_Mortgage	0	Current	138682	716	0.55	0.5613
L00001395	C350869	Residential Mortgage	Killeen, TX Metro	2023-09-10	2038-09-10	172891.53	58235.32	8.2804	188952	Residential_Mortgage	0	Current	42934	682	0.5	0.3082
L00001396	C841426	Residential Mortgage	Other Texas Region	2021-01-27	2026-01-27	158630.23	36352.22	11.6204	160670.19	Residential_Mortgage	0	Current	158976	737	0.49	0.2263
L00001397	C598716	Residential Mortgage	Killeen, TX Metro	2019-12-13	2031-12-13	1000	902.19	8.0672	1326.62	Residential_Mortgage	0	Current	147429	760	0.43	0.6801
L00001398	C275399	Residential Mortgage	Other Texas Region	2023-12-03	2032-12-03	196165.07	32426.78	7.3785	242149.37	Residential_Mortgage	90	Past Due (90+)	127898	656	0.34	0.1339
